,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
61,61.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,59841.0,59772.0,31.0,0.00270229856913236,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-7.830452376347411,509.8295143707991
62,62.0,980.0,980.0,0.0,100.0,0.0,60760.0,60752.0,31.0,0.0028080531651220714,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-7.764172289242015,511.15511611290697
63,63.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,61740.0,61730.0,33.0,0.002927197433902408,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-8.0,-7.693382850981085,512.5709048781256
64,64.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,62784.0,62710.0,34.0,0.003044286025260038,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-7.62742067602849,513.8901483771774
65,65.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,63700.0,63688.0,36.0,0.003163921299420095,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-8.0,-7.563349623729849,515.1715694231502
66,66.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,64680.0,64667.0,37.0,0.0032840447234085647,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.502079003754065,516.3969818226659
67,67.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,65727.0,65646.0,39.0,0.0034173377724023165,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-7.437344021535966,517.6916814670279
68,68.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,66640.0,66625.0,40.0,0.0035573274916611297,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.372693096536856,518.9846999670101
69,69.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,67689.0,67605.0,41.0,0.003697203243192344,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-7.31118617423365,520.2148384130743
70,70.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,68600.0,68584.0,42.0,0.0038480412037455378,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-7.247997094920139,521.4786199993445
