,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
35,35.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4423.0,4086.0,337.0,33.27090627799039,94.66292134831461,61.39201507032422,12.124629080118694,337.0,8195.0,19.0,4086.0,0.6751602437287331,0.32483975627126693,0.3327090627799039,12.124629080118694,0.9466292134831461,0.6672909372200961,0.07619262943703368,0.1410336890562879
36,36.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4549.0,4211.0,338.0,34.288738702060094,94.9438202247191,60.65508152265901,12.458579881656805,338.0,8070.0,18.0,4211.0,0.6653477882408799,0.33465221175912,0.34288738702060095,12.458579881656805,0.949438202247191,0.657112612979399,0.07430204440536381,0.13781855249745156
37,37.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,4676.0,4337.0,339.0,35.31471378552235,95.2247191011236,59.910005315601246,12.793510324483776,339.0,7944.0,17.0,4337.0,0.6554562000474796,0.3445437999525204,0.3531471378552235,12.793510324483776,0.952247191011236,0.6468528621447764,0.07249786142001712,0.13473767885532592
38,38.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4802.0,4462.0,340.0,36.33254620959205,95.50561797752809,59.17307176793604,13.123529411764705,340.0,7819.0,16.0,4462.0,0.6456437445596265,0.3543562554403735,0.36332546209592054,13.123529411764705,0.9550561797752809,0.6366745379040795,0.07080383173677635,0.1318340442031795
39,39.0,126.0,126.0,0.0,100.0,0.0,4928.0,4588.0,340.0,37.35852129305431,95.50561797752809,58.14709668447378,13.494117647058824,340.0,7693.0,16.0,4588.0,0.6356730236606789,0.36432697633932104,0.37358521293054314,13.494117647058824,0.9550561797752809,0.6264147870694569,0.0689935064935065,0.12869038607115824
40,40.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5055.0,4714.0,341.0,38.38449637651657,95.78651685393258,57.40202047741601,13.824046920821115,341.0,7567.0,15.0,4714.0,0.6257814354672786,0.3742185645327214,0.3838449637651657,13.824046920821115,0.9578651685393258,0.6161550362348343,0.06745796241345203,0.126039549066716
41,41.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5181.0,4839.0,342.0,39.40232880058627,96.06741573033707,56.66508692975081,14.149122807017545,342.0,7442.0,14.0,4839.0,0.6159689799794255,0.3840310200205745,0.3940232880058627,14.149122807017545,0.9606741573033708,0.6059767119941373,0.06601042269832079,0.1235325988802601
42,42.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5308.0,4965.0,343.0,40.42830388404853,96.34831460674157,55.920010722693036,14.475218658892128,343.0,7316.0,13.0,4965.0,0.6060773917860252,0.39392260821397485,0.4042830388404853,14.475218658892128,0.9634831460674157,0.5957169611595147,0.06461944235116805,0.12111581920903956
43,43.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,5434.0,5089.0,345.0,41.43799364872567,96.91011235955057,55.472118710824894,14.75072463768116,345.0,7192.0,11.0,5089.0,0.5964232017092664,0.40357679829073356,0.41437993648725674,14.75072463768116,0.9691011235955056,0.5856200635127433,0.06348914243651085,0.11917098445595853
44,44.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5560.0,5214.0,346.0,42.455826072795375,97.19101123595506,54.735185163159684,15.06936416184971,346.0,7067.0,10.0,5214.0,0.5866107462214133,0.4133892537785867,0.4245582607279538,15.06936416184971,0.9719101123595506,0.5754417392720462,0.06223021582733813,0.11697092630155509
45,45.0,127.0,127.0,0.0,100.0,0.0,5687.0,5341.0,346.0,43.48994381565019,97.19101123595506,53.70106742030487,15.436416184971097,346.0,6940.0,10.0,5341.0,0.5765608926169186,0.42343910738308144,0.4348994381565019,15.436416184971097,0.9719101123595506,0.5651005618434981,0.06084051345173202,0.11451265927519444
46,46.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5813.0,5466.0,347.0,44.507776239719895,97.47191011235955,52.96413387263966,15.752161383285303,347.0,6815.0,9.0,5466.0,0.5667484371290654,0.4332515628709346,0.44507776239719893,15.752161383285303,0.9747191011235955,0.5549222376028011,0.05969378978152417,0.11249797373966608
47,47.0,126.0,126.0,0.0,100.0,0.0,5939.0,5592.0,347.0,45.53375132318215,97.47191011235955,51.9381587891774,16.11527377521614,347.0,6689.0,9.0,5592.0,0.556777716230118,0.4432222837698821,0.45533751323182153,16.11527377521614,0.9747191011235955,0.5446624867681785,0.05842734467082,0.1102462271644162
48,48.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6066.0,5718.0,348.0,46.55972640664441,97.75280898876404,51.19308258211964,16.43103448275862,348.0,6563.0,8.0,5718.0,0.5468861280367175,0.4531138719632824,0.4655972640664441,16.43103448275862,0.9775280898876404,0.5344027359335559,0.057368941641938676,0.10837745250700716
49,49.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6192.0,5843.0,349.0,47.57755883071411,98.03370786516854,50.45614903445443,16.74212034383954,349.0,6438.0,7.0,5843.0,0.5370736725488644,0.46292632745113554,0.4757755883071411,16.74212034383954,0.9803370786516854,0.5242244116928589,0.056363049095607236,0.10659743433109345
50,50.0,126.0,126.0,0.0,100.0,0.0,6318.0,5969.0,349.0,48.60353391417637,98.03370786516854,49.43017395099217,17.103151862464184,349.0,6312.0,7.0,5969.0,0.5271029516499169,0.4728970483500831,0.4860353391417637,17.103151862464184,0.9803370786516854,0.5139646608582363,0.055238999683444125,0.10458495654779741
51,51.0,127.0,127.0,0.0,100.0,0.0,6445.0,6096.0,349.0,49.637651657031185,98.03370786516854,48.39605620813735,17.46704871060172,349.0,6185.0,7.0,6096.0,0.5170530980454222,0.48294690195457785,0.49637651657031184,17.46704871060172,0.9803370786516854,0.5036234834296881,0.054150504266873546,0.10263196588736952
52,52.0,126.0,126.0,0.0,100.0,0.0,6571.0,6222.0,349.0,50.66362674049345,98.03370786516854,47.37008112467509,17.828080229226362,349.0,6059.0,7.0,6222.0,0.5070823771464746,0.49291762285352536,0.5066362674049345,17.828080229226362,0.9803370786516854,0.49336373259506555,0.053112159488662304,0.10076512198642991
