bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
50.0,256.0,254.0,2.0,99.21875,0.78125,12810.0,12166.0,644.0,48.72832138422718,98.62174578866768,49.8934244044405,18.891304347826086,257600.0,243320.0,14280.0
51.0,256.0,256.0,0.0,100.0,0.0,13066.0,12422.0,644.0,49.75367485080306,98.62174578866768,48.86807093786462,19.288819875776397,257600.0,248440.0,9160.0
52.0,256.0,256.0,0.0,100.0,0.0,13322.0,12678.0,644.0,50.77902831737894,98.62174578866768,47.84271747128874,19.68633540372671,257600.0,253560.0,4040.0
53.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,13579.0,12934.0,645.0,51.80438178395482,98.77488514548239,46.97050336152757,20.052713178294574,258000.0,258680.0,-680.0
54.0,256.0,256.0,0.0,100.0,0.0,13835.0,13190.0,645.0,52.8297352505307,98.77488514548239,45.94514989495168,20.449612403100776,258000.0,263800.0,-5800.0
55.0,256.0,256.0,0.0,100.0,0.0,14091.0,13446.0,645.0,53.85508871710658,98.77488514548239,44.919796428375804,20.846511627906978,258000.0,268920.0,-10920.0
56.0,256.0,256.0,0.0,100.0,0.0,14347.0,13702.0,645.0,54.88044218368246,98.77488514548239,43.894442961799925,21.24341085271318,258000.0,274040.0,-16040.0
57.0,256.0,256.0,0.0,100.0,0.0,14603.0,13958.0,645.0,55.90579565025834,98.77488514548239,42.869089495224046,21.64031007751938,258000.0,279160.0,-21160.0
58.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,14860.0,14214.0,646.0,56.93114911683422,98.92802450229709,41.99687538546287,22.0030959752322,258400.0,284280.0,-25880.0
59.0,256.0,256.0,0.0,100.0,0.0,15116.0,14470.0,646.0,57.9565025834101,98.92802450229709,40.97152191888699,22.39938080495356,258400.0,289400.0,-31000.0
60.0,256.0,256.0,0.0,100.0,0.0,15372.0,14726.0,646.0,58.98185604998598,98.92802450229709,39.94616845231111,22.795665634674922,258400.0,294520.0,-36120.0
61.0,256.0,256.0,0.0,100.0,0.0,15628.0,14982.0,646.0,60.007209516561865,98.92802450229709,38.92081498573523,23.191950464396285,258400.0,299640.0,-41240.0
62.0,256.0,256.0,0.0,100.0,0.0,15884.0,15238.0,646.0,61.032562983137744,98.92802450229709,37.89546151915935,23.58823529411765,258400.0,304760.0,-46360.0
63.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,16141.0,15494.0,647.0,62.05791644971362,99.0811638591118,37.023247409398174,23.94744976816074,258800.0,309880.0,-51080.0
64.0,256.0,256.0,0.0,100.0,0.0,16397.0,15750.0,647.0,63.0832699162895,99.0811638591118,35.997893942822294,24.343122102009275,258800.0,315000.0,-56200.0
65.0,256.0,256.0,0.0,100.0,0.0,16653.0,16006.0,647.0,64.10862338286539,99.0811638591118,34.97254047624641,24.738794435857805,258800.0,320120.0,-61320.0
66.0,256.0,256.0,0.0,100.0,0.0,16909.0,16262.0,647.0,65.13397684944127,99.0811638591118,33.94718700967053,25.134466769706336,258800.0,325240.0,-66440.0
67.0,256.0,254.0,2.0,99.21875,0.78125,17165.0,16516.0,649.0,66.15131974205951,99.3874425727412,33.23612283068168,25.44838212634823,259600.0,330320.0,-70720.0
68.0,257.0,257.0,0.0,100.0,0.0,17422.0,16773.0,649.0,67.18067849561422,99.3874425727412,32.20676407712698,25.84437596302003,259600.0,335460.0,-75860.0
69.0,256.0,256.0,0.0,100.0,0.0,17678.0,17029.0,649.0,68.2060319621901,99.3874425727412,31.181410610551097,26.238828967642526,259600.0,340580.0,-80980.0
70.0,256.0,256.0,0.0,100.0,0.0,17934.0,17285.0,649.0,69.23138542876598,99.3874425727412,30.156057143975218,26.633281972265024,259600.0,345700.0,-86100.0
71.0,256.0,256.0,0.0,100.0,0.0,18190.0,17541.0,649.0,70.25673889534185,99.3874425727412,29.13070367739934,27.02773497688752,259600.0,350820.0,-91220.0
72.0,256.0,256.0,0.0,100.0,0.0,18446.0,17797.0,649.0,71.28209236191773,99.3874425727412,28.10535021082346,27.422187981510014,259600.0,355940.0,-96340.0
73.0,257.0,257.0,0.0,100.0,0.0,18703.0,18054.0,649.0,72.31145111547242,99.3874425727412,27.07599145726877,27.818181818181817,259600.0,361080.0,-101480.0
74.0,256.0,256.0,0.0,100.0,0.0,18959.0,18310.0,649.0,73.3368045820483,99.3874425727412,26.05063799069289,28.212634822804315,259600.0,366200.0,-106600.0
75.0,256.0,256.0,0.0,100.0,0.0,19215.0,18566.0,649.0,74.36215804862418,99.3874425727412,25.025284524117012,28.60708782742681,259600.0,371320.0,-111720.0
76.0,256.0,256.0,0.0,100.0,0.0,19471.0,18822.0,649.0,75.38751151520006,99.3874425727412,23.999931057541133,29.001540832049308,259600.0,376440.0,-116840.0
77.0,256.0,256.0,0.0,100.0,0.0,19727.0,19078.0,649.0,76.41286498177594,99.3874425727412,22.974577590965254,29.395993836671803,259600.0,381560.0,-121960.0
78.0,257.0,257.0,0.0,100.0,0.0,19984.0,19335.0,649.0,77.44222373533064,99.3874425727412,21.94521883741055,29.791987673343606,259600.0,386700.0,-127100.0
79.0,256.0,255.0,1.0,99.609375,0.390625,20240.0,19590.0,650.0,78.4635719149277,99.5405819295559,21.0770100146282,30.138461538461538,260000.0,391800.0,-131800.0
80.0,256.0,256.0,0.0,100.0,0.0,20496.0,19846.0,650.0,79.48892538150359,99.5405819295559,20.051656548052307,30.532307692307693,260000.0,396920.0,-136920.0
81.0,256.0,256.0,0.0,100.0,0.0,20752.0,20102.0,650.0,80.51427884807947,99.5405819295559,19.026303081476428,30.926153846153845,260000.0,402040.0,-142040.0
82.0,256.0,256.0,0.0,100.0,0.0,21008.0,20358.0,650.0,81.53963231465535,99.5405819295559,18.00094961490055,31.32,260000.0,407160.0,-147160.0
83.0,257.0,257.0,0.0,100.0,0.0,21265.0,20615.0,650.0,82.56899106821004,99.5405819295559,16.97159086134586,31.715384615384615,260000.0,412300.0,-152300.0
84.0,256.0,255.0,1.0,99.609375,0.390625,21521.0,20870.0,651.0,83.59033924780711,99.6937212863706,16.103382038563495,32.05837173579109,260400.0,417400.0,-157000.0
85.0,256.0,256.0,0.0,100.0,0.0,21777.0,21126.0,651.0,84.61569271438299,99.6937212863706,15.078028571987616,32.45161290322581,260400.0,422520.0,-162120.0
86.0,256.0,256.0,0.0,100.0,0.0,22033.0,21382.0,651.0,85.64104618095887,99.6937212863706,14.052675105411737,32.844854070660524,260400.0,427640.0,-167240.0
87.0,256.0,256.0,0.0,100.0,0.0,22289.0,21638.0,651.0,86.66639964753475,99.6937212863706,13.027321638835858,33.23809523809524,260400.0,432760.0,-172360.0
88.0,257.0,257.0,0.0,100.0,0.0,22546.0,21895.0,651.0,87.69575840108944,99.6937212863706,11.997962885281169,33.63287250384025,260400.0,437900.0,-177500.0
89.0,256.0,256.0,0.0,100.0,0.0,22802.0,22151.0,651.0,88.72111186766531,99.6937212863706,10.97260941870529,34.02611367127496,260400.0,443020.0,-182620.0
90.0,256.0,256.0,0.0,100.0,0.0,23058.0,22407.0,651.0,89.7464653342412,99.6937212863706,9.94725595212941,34.41935483870968,260400.0,448140.0,-187740.0
91.0,256.0,256.0,0.0,100.0,0.0,23314.0,22663.0,651.0,90.77181880081707,99.6937212863706,8.921902485553531,34.812596006144396,260400.0,453260.0,-192860.0
92.0,256.0,255.0,1.0,99.609375,0.390625,23570.0,22918.0,652.0,91.79316698041414,99.8468606431853,8.053693662771153,35.15030674846626,260800.0,458360.0,-197560.0
93.0,257.0,257.0,0.0,100.0,0.0,23827.0,23175.0,652.0,92.82252573396885,99.8468606431853,7.024334909216449,35.54447852760736,260800.0,463500.0,-202700.0
94.0,256.0,256.0,0.0,100.0,0.0,24083.0,23431.0,652.0,93.84787920054472,99.8468606431853,5.99898144264057,35.93711656441718,260800.0,468620.0,-207820.0
95.0,256.0,256.0,0.0,100.0,0.0,24339.0,23687.0,652.0,94.8732326671206,99.8468606431853,4.973627976064691,36.329754601226995,260800.0,473740.0,-212940.0
96.0,256.0,256.0,0.0,100.0,0.0,24595.0,23943.0,652.0,95.89858613369648,99.8468606431853,3.9482745094888116,36.72239263803681,260800.0,478860.0,-218060.0
97.0,256.0,256.0,0.0,100.0,0.0,24851.0,24199.0,652.0,96.92393960027236,99.8468606431853,2.9229210429129324,37.11503067484663,260800.0,483980.0,-223180.0
98.0,257.0,257.0,0.0,100.0,0.0,25108.0,24456.0,652.0,97.95329835382705,99.8468606431853,1.8935622893582433,37.50920245398773,260800.0,489120.0,-228320.0
99.0,256.0,256.0,0.0,100.0,0.0,25364.0,24712.0,652.0,98.97865182040293,99.8468606431853,0.8682088227823641,37.90184049079755,260800.0,494240.0,-233440.0
100.0,256.0,255.0,1.0,99.609375,0.390625,25620.0,24967.0,653.0,100.0,100.0,0.0,38.234303215926495,261200.0,499340.0,-238140.0
